Content Type,Model,Content,Evaluation
,,"Claim 5: Agar aapki pregnancy ki umra 2.5 mahine h, to aapko apne aapko apne aapko vomet ya kch ni hora mjhe bss upt positive h, iske liye kuchh vishesh charan karni honge.",Factually Incorrect
,,"Claim 6: Agar aapki pregnancy ki umra 2.5 mahine h, to aapko apne aapko apne aapko vomet ya kch ni hora mjhe bss upt positive h, iske liye kuchh vishesh charan karni honge.",Factually Incorrect
,,"Claim 7: Agar aapki pregnancy ki umra 2.5 mahine h, to aapko apne aapko apne aapko vomet ya kch ni hora mjhe bss upt positive h, iske liye kuchh vishesh charan karni honge.",Factually Incorrect
,,"Claim 8: Agar aapki pregnancy ki umra 2.5 mahine h, to aapko apne aapko apne aapko vomet ya kch ni hora mjhe bss upt positive h, iske liye kuchh vishesh charan karni honge.",Factually Incorrect
,,,
Response,medalpaca,Answer:**,
,,        1. Vomiting in pregnancy is common in the first trimester due to hormonal changes. ,
,,        2. It is normal to have some bleeding or spotting in the first trimester due to implantation of the embryo in the uterus. ,
,,"        3. If the pregnancy test is positive, it means that you are pregnant. ",
,,        4. You should consult a doctor for a physical examination and to discuss your symptoms.,
,,,
,,,
Response,medalpaca_rag,Answer:,
,,        1. Upt positive h to positive pregnancy test kit hota hai. Upt negative h to negative hota hai.,
,,,
Claim,medalpaca_rag,Claim 1: Upt positive h to positive pregnancy test kit hota hai,Factually Correct
,,Claim 2: Upt negative h to negative hota hai,Factually Correct
,,,
