stage,question,responses,total_entries,response_rate
34_uninitialized," You are due for a health checkup ⏰.

Please check with your doctor/ASHA to confirm the date for the checkup Are you planning to meet with your ASHA or doctor next week?

{{Yes,have appointment}}
{{Going,No appointment}}
{{No, I'm not going}}",851,1283,66.32891660171472
17_uninitialized,No Question,375,1280,29.296875
week_12,No Question,400,1273,31.421838177533385
37_end,No Question,0,1262,0.0
13_uninitialized,No Question,442,1259,35.10722795869738
41_uninitialized, I want to check in with you about your visit to the health facility last week 🏥,0,1255,0.0
week_41_visit_assessment,No Question,0,1251,0.0
31_end,No Question,0,1241,0.0
39_exit,No Question,0,1238,0.0
week_36_visit_reminder,No Question,0,1228,0.0
38_uninitialized," You are due for a health checkup ⏰.

Please check with your doctor/ASHA to confirm the date for the checkup Are you planning to meet with your ASHA or doctor next week?

{{Yes,have appointment}}
{{Going,No appointment}}
{{No, I'm not going}}",699,1201,58.2014987510408
14_uninitialized,No Question,367,1200,30.583333333333336
35_anc_visit_assessment," Did you go for your checkup?

{{Yes}}
{{No}}",1069,1181,90.51651143099069
week_34_visit_reminder,No Question,0,1180,0.0
33_anc_week33_breastfeeding," Your breast milk is the best nutrition for your baby! Feed your baby your precious breast milk as soon as they are born.  Do you plan to breastfeed your baby?

{{Yes}}
{{No}}",977,1172,83.3617747440273
32_nlp_prompt," Some common topics parents ask about include nutrition, pregnancy symptoms, and preparing for birth. Is there anything specific you'd like more information about?
{{Yes}}
{{No}}",808,1166,69.2967409948542
19_uninitialized,No Question,351,1164,30.15463917525773
week_10,No Question,457,1162,39.32874354561102
week_11,No Question,377,1151,32.75412684622068
37_anc_visit_assessment," Did you go for your checkup?

{{Yes}}
{{No}}",1019,1150,88.6086956521739
week_33_tip,No Question,0,1145,0.0
33_anc_week33_intro, Today I want to talk to you about breastfeeding 🤱🏽.,0,1145,0.0
35_uninitialized, I want to check in with you about your visit to the health facility last week 🏥,0,1139,0.0
week_35_visit_assessment,No Question,0,1139,0.0
32_anc_week32_labor_signs," So, how will you know when labor truly starts? ⏰ Tummy cramps (contractions) that last about 30 to 70 seconds and occur every 5 to 10 minutes
😣 Pain in your lower back
💦 Sudden rush of fluid coming from your private area
👶🏽 Baby pushes downward These are signs to rush to the health facility- your baby is on its way! Most women will not have their baby at 32 weeks, but it is possible to give birth early ⏰.",0,1121,0.0
week_32_tip,No Question,0,1121,0.0
32_anc_week32_intro," You are now eight months pregnant, or about 32 weeks 😊 Your body and your baby are working together to prepare for birth! Your baby will begin to move to a good birth position: head down, facing your back 👶🏽.",0,1121,0.0
32_anc_week32_outro, Take care. I'll be back soon with more tips 😊. ,0,1121,0.0
32_end,No Question,0,1116,0.0
week_38_visit_reminder,No Question,0,1104,0.0
30_uninitialized," You are due for a health checkup ⏰.

Please check with your doctor/ASHA to confirm the date for the checkup Are you planning to meet with your ASHA or doctor next week?

{{Yes,have appointment}}
{{Going,No appointment}}
{{No, I'm not going}}",674,1094,61.608775137111515
12_uninitialized,No Question,353,1072,32.92910447761194
39_anc_visit_assessment," Did you go for your checkup?

{{Yes}}
{{No}}",871,1069,81.47801683816651
41_regular_input, What questions or concerns do you have about your health or your baby's health? 💬,689,1068,64.51310861423221
37_uninitialized, I want to check in with you about your visit to the health facility last week 🏥,0,1061,0.0
37_anc_week_37_visit_assessment,No Question,0,1061,0.0
40_uninitialized," You are due for a health checkup ⏰.

Please check with your doctor/ASHA to confirm the date for the checkup Are you planning to meet with your ASHA or doctor next week?

{{Yes,have appointment}}
{{Going,No appointment}}
{{No, I'm not going}}",532,1054,50.47438330170778
week_39_visit_assessment,No Question,0,1026,0.0
39_uninitialized, I want to check in with you about your visit to the health facility last week 🏥,0,1025,0.0
27_end,No Question,0,1022,0.0
31_anc_visit_assessment," Did you go for your checkup?

{{Yes}}
{{No}}",923,1020,90.49019607843137
33_nlp_prompt," Some common topics parents ask about include nutrition, pregnancy symptoms, and preparing for birth. Is there anything specific you'd like more information about?
{{Yes}}
{{No}}",723,992,72.88306451612904
31_uninitialized, I want to check in with you about your visit to the health facility last week 🏥,0,989,0.0
week_31_visit_assessment,No Question,0,989,0.0
41_uninitialized, 🙏 Thanks for sharing. I'm currently finding the best information to help answer your concerns. I'll get back to you soon with the answers you're looking for.,0,972,0.0
week_30_visit_reminder,No Question,0,967,0.0
33_anc_week33_breastfeeding_benefits, Plan to breastfeed your baby as soon as they are born. Your first milk will protect your baby from sickness 🦠.  Only feed your baby breast milk for the *first 6 months* of their life 👶🏽. Your breast milk has all the nutrition your baby needs! ,0,966,0.0
33_anc_week33_outro, I hope you have a happy and healthy week! I'll be in touch soon 😊. ,0,966,0.0
26_uninitialized," You are due for a health checkup ⏰.

Please check with your doctor/ASHA to confirm the date for the checkup Are you planning to meet with your ASHA or doctor next week?

{{Yes,have appointment}}
{{Going,No appointment}}
{{No, I'm not going}}",621,962,64.55301455301455
29_anc_week29_emergencyfund_check," Have you started an emergency fund?

{{Yes}}
{{No}}",834,948,87.9746835443038
30_uninitialized,No Question,467,935,49.94652406417112
week_29_tip,No Question,0,931,0.0
29_anc_week29_intro," Your baby may wiggle when you sing to them!  They are growing quickly now, so it's important to eat balanced meals.",0,931,0.0
week_40_visit_reminder,No Question,0,926,0.0
11_uninitialized,No Question,287,922,31.127982646420826
28_nlp_prompt," Some common topics parents ask about include nutrition, pregnancy symptoms, and preparing for birth. Is there anything specific you'd like more information about?
{{Yes}}
{{No}}",599,907,66.04189636163176
41_nlp_input, What questions or concerns do you have about your health or your baby's health? 💬,355,907,39.14002205071665
week_26_visit_reminder,No Question,0,894,0.0
32_nlp_maternal_health,No Question,0,893,0.0
36_end,No Question,0,884,0.0
28_anc_week28_birthplan," A health facility 🏥 is the *safest* place for birth.  Here's what you should do to prepare:

🚎 Find out the fastest way to get to the clinic, and plan your transport
💵 Save money for transportation and other costs
👜 Pack a bag with items you will bring when you deliver
👍🏽 Choose someone you trust to go with you Here are examples of items to pack in your bag:

✔︎ Sanitary Napkins
✔︎ Sleeping items
✔︎ Washing items
✔︎ Clean clothes for you
✔︎ Clothes for your baby Ask your health worker 👩🏽‍⚕️ what other items you need to bring for a safe delivery.  Keep a bag 👜 at home with these items and bring it with you to the health facility 🏥 when you start labor.",0,882,0.0
week_28_tip,No Question,0,882,0.0
28_anc_week28_outro, Remember to take your iron and folic acid (IFA) pills everyday to support your baby's growth. Have a happy and safe week! I'll be back soon with more tips 😊,0,882,0.0
28_anc_week28_intro," Your due date ⏰  is getting closer, so let's chat about your birth plan! 📝",0,882,0.0
34_uninitialized,No Question,503,878,57.28929384965832
21_end,No Question,0,865,0.0
38_uninitialized,No Question,435,861,50.522648083623686
31_exit,No Question,0,859,0.0
29_nlp_prompt," Some common topics parents ask about include nutrition, pregnancy symptoms, and preparing for birth. Is there anything specific you'd like more information about?
{{Yes}}
{{No}}",598,848,70.51886792452831
27_anc_visit_assessment," Did you go for your checkup?

{{Yes}}
{{No}}",756,843,89.6797153024911
37_exit,No Question,0,824,0.0
29_anc_week29_outro, I'll be back soon 😊. I hope you have a great week!,0,822,0.0
29_anc_week29_emergencyfund_benefits," Saving money now can help you pay for a future emergency, such as urgent transport to a health facility 🚎 and buying medicine if the health facility runs out. So it is important to save money just in case. ",0,822,0.0
week_27_visit_assessment,No Question,0,812,0.0
27_uninitialized, I want to check in with you about your visit to the health facility last week 🏥,0,812,0.0
24_anc_week24_movement," Can you feel your baby move?

{{Yes}}
{{No}}",712,805,88.4472049689441
20_uninitialized,No Question,405,805,50.31055900621118
20_uninitialized," You are due for a health checkup ⏰.

Please check with your doctor/ASHA to confirm the date for the checkup Are you planning to meet with your ASHA or doctor next week?

{{Yes,have appointment}}
{{Going,No appointment}}
{{No, I'm not going}}",528,795,66.41509433962264
25_anc_week25_heartburn," Your breasts are growing and getting ready to make milk. Wearing a bra can provide some extra support.  Do you plan to breastfeed your baby?

{{Yes}}
{{No}}",678,794,85.3904282115869
33_end,No Question,0,788,0.0
41_rmc_survey_friendliness," 🟢⚪️⚪️⚪️⚪️

Did the doctors, nurses, and other staff at the facility treat you in a friendly manner?

{{Yes, always}}
{{Sometimes}}
{{No, never}}",509,782,65.08951406649616
25_anc_week25_intro," You are about 25 weeks pregnant 🤰🏽. Your baby's eyes are opening, and their little world 🌏 is becoming more exciting!",0,780,0.0
week_25_tip,No Question,0,780,0.0
41_check_nlpprompt_response,No Question,774,774,100.0
35_anc_week_35_visit_checkin,No Question,0,769,0.0
35_anc_visit_assessment_yes, That's great news! 🥳,0,769,0.0
29_end,No Question,0,767,0.0
24_anc_week24_intro, I hope you've been feeling well 💕.,0,763,0.0
week_24_convo,No Question,0,763,0.0
26_uninitialized,No Question,417,752,55.452127659574465
23_anc_week23_legcramp_tips," As your belly grows, it may be harder to find a comfortable position to sleep in 💤. Try using pillows or blankets to support your belly and back, and avoid eating or drinking anything close to bedtime ⏰. And if *leg cramps* wake you up at night, try stretching or massaging your legs 🦵🏽, and walking bare foot on a plain surface 🚶🏽‍♀️. 

{{ continue }}",607,750,80.93333333333334
36_nlp_prompt," Some common topics parents ask about include nutrition, pregnancy symptoms, and preparing for birth. Is there anything specific you'd like more information about?
{{Yes}}
{{No}}",579,749,77.3030707610147
37_birthplan_check," Did the health worker tell you what items to bring with you to the facility when you give birth?

{{Yes}}
{{No}}",707,748,94.5187165775401
35_end,No Question,0,745,0.0
37_anc_week_37_visit_checkin,No Question,0,736,0.0
37_anc_visit_assessment_yes, That's great news! 🥳,0,736,0.0
23_anc_week23_intro," Your baby has taste buds on their tongue now, ready to taste your milk 👶🏽. I will share more tips about breastfeeding as your due date gets closer🤱🏽. Now I want to tell you about some common pregnancy symptoms and ways to relieve them. ",0,731,0.0
27_exit,No Question,0,731,0.0
week_23_tip,No Question,0,731,0.0
39_familyplanning," Did the clinic talk to you about family planning or child spacing?

{{Yes}}
{{No}}",644,730,88.21917808219179
41_ask_clinic_to_go,No Question,0,727,0.0
35_rmc_survey_friendliness," 🟢⚪️⚪️⚪️⚪️

Did the doctors, nurses, and other staff at the facility treat you in a friendly manner?

{{Yes, always}}
{{Sometimes}}
{{No, never}}",555,726,76.44628099173553
36_visit_reminder_yes," That's good to hear. What day do you plan to go?
{{Sunday}}
{{Monday}}
{{Tuesday}}
{{Wednesday}}
{{Thursday}}
{{Friday}}
{{Saturday}} 
[[Select option]]",591,717,82.42677824267783
24_nlp_prompt," Some common topics parents ask about include nutrition, pregnancy symptoms, and preparing for birth. Is there anything specific you'd like more information about?
{{Yes}}
{{No}}",534,716,74.58100558659217
39_anc_week_39_visit_checkin,No Question,0,714,0.0
39_anc_visit_assessment_yes, That's great news! 🥳,0,714,0.0
34_end,No Question,0,713,0.0
37_backpain_consultation," Did they talk to you about exercising to prevent back pain?

{{Yes}}
{{No}}",663,706,93.90934844192634
34_nlp_prompt," Some common topics parents ask about include nutrition, pregnancy symptoms, and preparing for birth. Is there anything specific you'd like more information about?
{{Yes}}
{{No}}",540,705,76.59574468085107
22_anc_week22_uti_symptoms," Remember to drink plenty of clean, safe water every day. Staying hydrated can prevent urinary infections 🚰 💦. Are you experiencing any of these symptoms?

⏰ Frequent and urgent need to pass urine (more than normal)
😣 Pain when passing urine
🔺 Urine that looks cloudy, bloody or is very smelly

{{Yes}}
{{No}}",598,704,84.94318181818183
33_anc_week33_breastfeed_yes, I'm happy to hear that!,0,703,0.0
41_uninitialized," Now, I would love to learn about the quality of your visit.",0,701,0.0
41_rmc_survey,No Question,0,701,0.0
25_anc_week25_breastfeeding_benefits," Plan to breastfeed your new baby in the first hour after they are born. Your first milk will protect your baby from sickness 🤱🏽

Type 1 to continue",606,697,86.94404591104734
week_20_visit_reminder,No Question,0,697,0.0
24_anc_week24_outro," I care about you and your baby💕. If you have any questions or concerns, consult your ASHA or doctor right away 👩🏽‍⚕️. I hope you continue taking good care of yourself 😊. I'll be back soon with more tips.",0,692,0.0
24_anc_week24_emergencyfund," Start saving money 💵  *now* to pay for emergencies, such as urgent transport to a health facility 🚎 and buying medicine if the health facility runs out. Add a small amount of money 💵 to your emergency fund every week.  It's important to always be prepared 🔑",0,692,0.0
24_anc_week24_dangersigns," Other reasons you should see your ASHA or doctor:

🤒 Fever/hotness of the body
🥴 Convulsion
😣 Headache
🦶🏽 Swelling of hands or feet
😚 Puffiness of the face
🩸 Blood or fluid leaking from your private area
😖 Pain when peeing
😨 Difficulty breathing Type 1 to continue",0,692,0.0
41_thanks_stage,No Question,0,691,0.0
22_anc_week19_intro," At about 22 weeks pregnant, your baby can hear your voice👂🏽. Talk and sing to your baby!",0,686,0.0
week_22_tip,No Question,0,686,0.0
24_end,No Question,0,680,0.0
28_end,No Question,0,677,0.0
35_rmc_survey,No Question,0,670,0.0
35_uninitialized," Now, I would love to learn about the quality of your visit.",0,670,0.0
35_dangersigns_reminder," These are signs that you should go to the health facility right away. Being aware of danger signs during pregnancy, delivery, and after birth can help keep you and your baby safe.",0,670,0.0
21_anc_visit_assessment," Did you go for your checkup?

{{Yes}}
{{No}}",602,667,90.25487256371814
19_anc_week19_tb_treatment_check," Is anyone in your household being treated for tuberculosis (TB)?

{{Yes}}
{{No}}",566,663,85.36953242835595
37_danger_signs_counseling," Some symptoms are a sign to go to a health facility quickly. Did the health worker talk to you about these warning signs?

{{Yes}}
{{No}}",629,662,95.01510574018127
36_nlp_maternal_health,No Question,0,661,0.0
37_rmc_survey_friendliness," 🟢⚪️⚪️⚪️⚪️

Did the doctors, nurses, and other staff at the facility treat you in a friendly manner?

{{Yes, always}}
{{Sometimes}}
{{No, never}}",521,659,79.05918057663126
37_backpain_tips," Regular exercise during pregnancy helps prevent pain in your back and around your waist. Proper posture when sitting or standing helps, too.",0,658,0.0
18_nlp_prompt," Some common topics parents ask about include nutrition, pregnancy symptoms, and preparing for birth. Is there anything specific you'd like more information about?
{{Yes}}
{{No}}",472,658,71.73252279635258
39_danger_signs_counseling," Some symptoms are a sign to go to a health facility quickly. Did the health worker talk to you about these warning signs?

{{Yes}}
{{No}}",598,655,91.29770992366413
31_bloodpressure_check," Did you get your *blood pressure* checked?

{{Yes}}
{{No}}",621,649,95.68567026194145
17_anc_week17_water," Drinking plenty of clean, safe water 💦  is good for your health. This can also help with constipation ✅ To clean your water:

🚰 Filter and boil
💦 Let it boil for one full minute
🍶 Store it in a clean, covered container Unclean water can cause diarrhea and vomiting 🤢

[[ continue }}",472,648,72.8395061728395
34_visit_reminder_yes," That's good to hear. What day do you plan to go?
{{Sunday}}
{{Monday}}
{{Tuesday}}
{{Wednesday}}
{{Thursday}}
{{Friday}}
{{Saturday}} 
[[Select option]]",512,648,79.01234567901234
21_uninitialized, I want to check in with you about your visit to the health facility last week 🏥,0,645,0.0
week_21_visit_assessment,No Question,0,645,0.0
40_end,No Question,0,643,0.0
31_anc_visit_assessment_yes, That's great news! 🥳,0,640,0.0
31_anc_week_31_visit_checkin,No Question,0,640,0.0
18_anc_week18_outro," Shortness of breath is usually harmless. However, if it is accompanied by pain, consult your health worker.  Other signs to consult a health worker:

🤒 fever
🩸 bleeding
😣 tummy pain
🦶🏽sudden swelling of hands and feet I hope you have a lovely week. I will be back soon with more tips 😊.",0,632,0.0
18_anc_week18_symptoms," Your growing baby may put pressure on your lungs, making it a little harder to breathe. Deep breathing exercises 👃🏽, sleeping on the left side 💤, and wearing loose clothing 🥻can help.",0,632,0.0
18_anc_week18_intro," At 18 weeks pregnant, your baby is about the size of a sweet potato🍠.",0,632,0.0
week_18_tip,No Question,0,632,0.0
19_anc_week19_tb_symptoms," Today I want to talk to you about protecting yourself from tuberculosis (TB). TB is a disease that spreads through the air from one person to another.  Distance yourself from people who show signs of TB:

😷 Cough
🤒 Fever
🥱 Tiredness
😦 Difficulty breathing",0,626,0.0
week_19_tip,No Question,0,626,0.0
19_anc_week19_intro," You are about 19 weeks pregnant 🤰🏽.  Your baby is about the size of a mango 🥭, and has all their major organs now!",0,626,0.0
37_rmc_survey,No Question,0,625,0.0
37_uninitialized," Now, I would love to learn about the quality of your visit.",0,625,0.0
39_rmc_survey_friendliness," 🟢⚪️⚪️⚪️⚪️

Did the doctors, nurses, and other staff at the facility treat you in a friendly manner?

{{Yes, always}}
{{Sometimes}}
{{No, never}}",479,624,76.76282051282051
30_end,No Question,0,622,0.0
31_urine_check," Did you get a *urine* test?

{{Yes}}
{{No}}",603,622,96.94533762057877
40_nlp_maternal_health,No Question,0,621,0.0
21_exit,No Question,0,620,0.0
32_regular_input, What questions or concerns do you have about your health or your baby's health? 💬,372,616,60.3896103896104
24_anc_week24_movement_yes, That's wonderful 😊,0,613,0.0
25_end,No Question,0,613,0.0
35_nlp_prompt," Some common topics parents ask about include nutrition, pregnancy symptoms, and preparing for birth. Is there anything specific you'd like more information about?
{{Yes}}
{{No}}",501,612,81.86274509803921
25_anc_week25_discharge," You may also experience changes in your private area. A white vaginal discharge is usually normal.  Wearing loose clothing and washing your private area daily can help keep you healthy down there. However, if you feel itchy or smelly around your private area, let your health worker know. 

Type 1 to continue",556,609,91.29720853858785
23_anc_week23_swelling_tips," You may also notice swelling in your feet, ankles, and hands.  Drinking plenty of clean water 💦, avoiding sitting or standing for a long time 🚶🏽‍♀️, wearing comfortable shoes 🥿, and resting with your feet up ⬆️ can help with swelling. However, if you experience sudden and extreme swelling with bad headache or blurred vision, see your health worker right away. 

{{ continue }}",531,609,87.192118226601
31_danger_signs_counseling," Some symptoms are a sign to go to a health facility quickly. Did the health worker talk to you about these warning signs?

{{Yes}}
{{No}}",546,604,90.39735099337747
22_nlp_prompt," Some common topics parents ask about include nutrition, pregnancy symptoms, and preparing for birth. Is there anything specific you'd like more information about?
{{Yes}}
{{No}}",449,601,74.70881863560732
38_end,No Question,0,600,0.0
31_bloodpressure_urine_check_reminder, Getting your blood pressure and urine checked at every visit can help prevent complications for both you and your baby.,0,597,0.0
33_nlp_maternal_health,No Question,0,591,0.0
22_end,No Question,0,587,0.0
22_anc_week22_outro, I hope you have a lovely week. I'll be back soon with more tips 😊,0,586,0.0
22_anc_week22_uti_symptoms_tips," Thank you for letting me know.  These are signs of urinary infection, which is common during pregnancy 🤰🏽.  If you notice these signs, visit a health facility right away to get it treated 🏥.",0,586,0.0
29_nlp_maternal_health,No Question,0,586,0.0
39_rmc_survey,No Question,0,584,0.0
39_uninitialized," Now, I would love to learn about the quality of your visit.",0,584,0.0
17_anc_week17_intro, I hope you've been feeling well 💕.,0,584,0.0
week_17_convo,No Question,0,584,0.0
37_nlp_prompt," Some common topics parents ask about include nutrition, pregnancy symptoms, and preparing for birth. Is there anything specific you'd like more information about?
{{Yes}}
{{No}}",476,581,81.92771084337349
10_uninitialized,No Question,329,576,57.11805555555556
16_end,No Question,0,573,0.0
19_nlp_prompt," Some common topics parents ask about include nutrition, pregnancy symptoms, and preparing for birth. Is there anything specific you'd like more information about?
{{Yes}}
{{No}}",413,573,72.07678883071553
16_nlp_prompt," Some common topics parents ask about include nutrition, pregnancy symptoms, and preparing for birth. Is there anything specific you'd like more information about?
{{Yes}}
{{No}}",417,573,72.77486910994764
38_nlp_prompt," Some common topics parents ask about include nutrition, pregnancy symptoms, and preparing for birth. Is there anything specific you'd like more information about?
{{Yes}}
{{No}}",434,569,76.27416520210897
28_nlp_maternal_health,No Question,0,569,0.0
30_nlp_prompt," Some common topics parents ask about include nutrition, pregnancy symptoms, and preparing for birth. Is there anything specific you'd like more information about?
{{Yes}}
{{No}}",425,568,74.82394366197182
31_nlp_prompt," Some common topics parents ask about include nutrition, pregnancy symptoms, and preparing for birth. Is there anything specific you'd like more information about?
{{Yes}}
{{No}}",468,566,82.68551236749117
31_rmc_survey_friendliness," 🟢⚪️⚪️⚪️⚪️

Did the doctors, nurses, and other staff at the facility treat you in a friendly manner?

{{Yes, always}}
{{Sometimes}}
{{No, never}}",457,565,80.88495575221238
25_nlp_prompt," Some common topics parents ask about include nutrition, pregnancy symptoms, and preparing for birth. Is there anything specific you'd like more information about?
{{Yes}}
{{No}}",449,563,79.75133214920072
24_nlp_maternal_health,No Question,0,559,0.0
week_16_tip,No Question,0,558,0.0
16_anc_week16_intro, I hope you are feeling well 💕. Your baby is about the size of a pear 🍐 and can make little fists ✊🏽 with their hands.,0,558,0.0
16_anc_week16_rest," As your body works to support your growing baby, you may feel more tired than usual. Be sure to get enough rest 💤, eat a healthy diet 🍊🍇, and engage in light exercise🚶🏽‍♀️. If you can, ask your family to help you with household chores 🧹 when you are feeling tired.",0,558,0.0
16_anc_week16_outro, I hope you continue taking good care of yourself 😊. I'll be back soon with more tips!,0,558,0.0
11_end,No Question,0,556,0.0
31_rmc_survey,No Question,0,546,0.0
31_uninitialized," Now, I would love to learn about the quality of your visit.",0,546,0.0
19_anc_week19_outro," If you have any questions or concerns, please consult your health worker.  I will be back next week with more tips 😊",0,545,0.0
25_anc_week25_outro, I hope you have a great week. I will be back soon with more tips 😊.,0,545,0.0
23_end,No Question,0,535,0.0
32_image_anc,No Question,0,531,0.0
32_socialsharing_link_message_anc," 🌱 🚀 📈 Help askNivi grow! Forward this link and photo with your friends and family, and help them find a trusted companion for their health journey.
https://x.nivi.io/anc-share_the_love",0,531,0.0
26_end,No Question,0,530,0.0
36_visit_reminder_yes_exit," Great, I'll check in with you next week to see how it went. Have a healthy and safe week! 🤗",0,529,0.0
40_choose-anc-or-pnc," Which situation describes you?
{{I'm pregnant}}
{{I had my baby}}
{{Neither}}",524,528,99.24242424242425
26_nlp_prompt," Some common topics parents ask about include nutrition, pregnancy symptoms, and preparing for birth. Is there anything specific you'd like more information about?
{{Yes}}
{{No}}",408,528,77.27272727272727
38_visit_reminder_yes," That's good to hear. What day do you plan to go?
{{Sunday}}
{{Monday}}
{{Tuesday}}
{{Wednesday}}
{{Thursday}}
{{Friday}}
{{Saturday}} 
[[Select option]]",426,526,80.98859315589354
23_nlp_prompt," Some common topics parents ask about include nutrition, pregnancy symptoms, and preparing for birth. Is there anything specific you'd like more information about?
{{Yes}}
{{No}}",380,526,72.24334600760456
20_end,No Question,0,526,0.0
15_nlp_prompt," Some common topics parents ask about include nutrition, pregnancy symptoms, and preparing for birth. Is there anything specific you'd like more information about?
{{Yes}}
{{No}}",359,526,68.25095057034221
23_anc_week23_outro," If you have any questions or concerns about these symptoms, let your health worker know at your next visit.  I hope you continue taking good care of yourself. Talk soon!",0,521,0.0
27_smoking_and_alcohol," Has your health worker informed you of the dangers of tobacco, alcohol and other drugs?

{{Yes}}
{{No}}",481,521,92.32245681381957
23_anc_week23_false_contractions," As your body prepares to give birth, you may also experience *""false"" labor contractions*. False labor contractions feel like a tightening or squeezing in your lower belly, and can be irregular and unpredictable.  These contractions are *normal* and may begin from the 4th month of pregnancy. Some women won't feel them at all and that's okay, too. If these contractions cause you discomfort, try drinking plenty of water💦, getting plenty of rest 🪑, and changing positions 🧘🏽‍♀️.",0,521,0.0
40_verify_country,No Question,519,519,100.0
31_bloodpressure_check_yes, Great.,0,519,0.0
32_uninitialized, 🙏 Thanks for sharing. I'm currently finding the best information to help answer your concerns. I'll get back to you soon with the answers you're looking for.,0,516,0.0
32_exit,No Question,0,516,0.0
27_anc_week_27_visit_checkin,No Question,0,511,0.0
27_anc_visit_assessment_yes, That's great news! 🥳,0,511,0.0
15_end,No Question,0,508,0.0
18_end,No Question,0,507,0.0
19_end,No Question,0,506,0.0
10_uninitialized," You are due for a health checkup ⏰.

Please check with your doctor/ASHA to confirm the date for the checkup Are you planning to meet with your ASHA or doctor next week?

{{Yes,have appointment}}
{{Going,No appointment}}
{{No, I'm not going}}",347,503,68.98608349900597
34_nlp_maternal_health,No Question,0,502,0.0
15_anc_week15_symptoms," Today, I want to talk to you about some common pregnancy symptoms.  Experiencing symptoms like nausea, vomiting and breast tenderness during pregnancy is normal, but may cause discomfort. If you have these symptoms, I have some tips that may help 😊",0,500,0.0
15_anc_week15_intro," At 15 weeks pregnant, your baby is about the size of an apple 🍎 and is beginning to sense light 🌞.",0,500,0.0
week_15_tip,No Question,0,500,0.0
39_end,No Question,0,500,0.0
15_anc_week15_symptoms_tips," Okay! *Nausea and vomiting*

These symptoms  can be relieved by eating small, frequent meals throughout the day 🍛, avoiding strong odors👃🏽, and getting plenty of rest 💤. *Breast tenderness*

As your body prepares to make milk 🤱🏽, you may experience breast tenderness and enlargement. Wearing loose, comfortable clothing can provide relief🥻.",0,500,0.0
15_anc_week15_outro," I hope these tips are helpful. If you have any concerns, please consult your health worker.  I hope you have a safe and happy week! I will be back soon with more tips 😊.",0,500,0.0
